global_step=38048, episodic_return=[-36.38], time=0.014546632766723633
global_step=38120, episodic_return=[-51.16], time=0.03415703773498535
global_step=38136, episodic_return=[-5.32], time=0.0059986114501953125
global_step=38288, episodic_return=[-75.84], time=0.060399770736694336
global_step=38312, episodic_return=[-13.01], time=0.008632659912109375
global_step=38456, episodic_return=[-32.77], time=0.056061744689941406
global_step=38608, episodic_return=[-23.04], time=0.06859827041625977
global_step=38648, episodic_return=[5.72], time=0.014188051223754883
global_step=38752, episodic_return=[-32.71], time=0.04512476921081543
global_step=38944, episodic_return=[-30.57], time=0.0881202220916748
global_step=39152, episodic_return=[-64.08], time=0.08381414413452148
global_step=39320, episodic_return=[-5.47], time=0.06807374954223633
global_step=39968, episodic_return=[-631.54], time=0.2531399726867676
global_step=40200, episodic_return=[-76.99], time=0.0906972885131836
global_step=40408, episodic_return=[-218.8], time=0.08914446830749512
global_step=40488, episodic_return=[-21.43], time=0.03439831733703613
global_step=40600, episodic_return=[-148.9], time=0.0514531135559082
global_step=40680, episodic_return=[-10.87], time=0.031184673309326172
global_step=40960, episodic_return=[-54.82], time=0.11993980407714844
global_step=41120, episodic_return=[-39.81], time=0.0662848949432373
global_step=41336, episodic_return=[-23.2], time=0.09296417236328125
global_step=42160, episodic_return=[-81.24], time=0.30860257148742676
global_step=42280, episodic_return=[-110.02], time=0.04342246055603027
global_step=42328, episodic_return=[-82.53], time=0.01738762855529785
global_step=42384, episodic_return=[-27.45], time=0.023012399673461914
global_step=42632, episodic_return=[-18.4], time=0.0980374813079834
global_step=43112, episodic_return=[-25.2], time=0.17845964431762695
global_step=43232, episodic_return=[-21.29], time=0.05024909973144531
global_step=43240, episodic_return=[-53.16], time=0.002668142318725586
global_step=43464, episodic_return=[-30.86], time=0.0815274715423584
global_step=43664, episodic_return=[0.27], time=0.07946252822875977
global_step=43712, episodic_return=[-628.38], time=0.020913124084472656
global_step=43792, episodic_return=[-8.9], time=0.034515380859375
global_step=43928, episodic_return=[-12.27], time=0.05967211723327637
global_step=44000, episodic_return=[-110.29], time=0.02949213981628418
global_step=44208, episodic_return=[-63.29], time=0.08369612693786621
